borough;neighborhood;bin;numfloors;house_number;street_name;full_street_name;zipcode;full_address;streetview_image_usable_flag;streetview_stairs_detected;streetview_gate_detected;streetview_ramp_or_barrier_detected;streetview_amr_can_reach_door_flag;amr_accessibility_probability_estimated;amr_index_estimated
Manhattan;Upper West Side-Lincoln Square;1028166;18;55;CENTRAL;CENTRAL PARK W;10023;55 CENTRAL PARK W;True;False;False;True;True;0.667720551;66.77205509
Manhattan;Upper West Side (Central);1028812;4;21;76;W  76 ST;10023;21 W  76 ST;True;True;False;False;False;0.15922732;15.92273196
Manhattan;Chelsea-Hudson Yards;1013276;3;354;21;W  21 ST;10011;354 W  21 ST;True;True;True;False;False;0.190635707;19.06357075
Manhattan;Chelsea-Hudson Yards;1014099;4;232;8;8 AVE;10011;232 8 AVE;True;False;False;False;True;0.749681383;74.96813829
Manhattan;Chelsea-Hudson Yards;1012295;9;521;20;W  20 ST;10011;521 W  20 ST;True;False;False;True;True;0.53103138;53.10313805
Manhattan;Chelsea-Hudson Yards;1013376;5;206;9;9 AVE;10011;206 9 AVE;True;False;False;False;True;0.662728826;66.2728826
Manhattan;Midtown South-Flatiron-Union Square;1016741;51;2;24;E  24 ST;10010;2 E  24 ST;True;False;False;False;True;0.984833193;98.48331935
Manhattan;Upper West Side (Central);1031112;16;51;RIVERSIDE;RIVERSIDE DR;10024;51 RIVERSIDE DR;True;True;False;False;False;0.734133136;73.41331357
Manhattan;Midtown-Times Square;1023730;18;101;57;W  57 ST;10019;101 W  57 ST;True;False;False;False;True;0.847862614;84.78626135
Manhattan;Chelsea-Hudson Yards;1013800;3;;;;;;True;False;True;False;True;0.0629332;6.293319983
Manhattan;Gramercy;1018175;6;139;27;E  27 ST;10016;139 E  27 ST;True;False;False;True;True;0.570766373;57.07663729
Manhattan;Chelsea-Hudson Yards;1013430;5;305;22;W  22 ST;10011;305 W  22 ST;True;True;True;False;False;0.492738362;49.27383621
Manhattan;Upper West Side-Lincoln Square;1029965;4;114;73;W  73 ST;10023;114 W  73 ST;True;True;True;False;False;0.14495743;14.49574298
Manhattan;Chelsea-Hudson Yards;1014551;3;135;15;W  15 ST;10011;135 W  15 ST;True;True;True;False;False;0.110300858;11.03008584
Manhattan;Midtown-Times Square;1024905;16;202;58;W  58 ST;10019;202 W  58 ST;True;False;False;False;True;0.802407011;80.2407011
Manhattan;Hell's Kitchen;1027008;7;533;48;W  48 ST;10019;533 W  48 ST;True;True;False;True;True;0.624214523;62.42145229
Manhattan;Chelsea-Hudson Yards;1014538;6;150;15;W  15 ST;10011;150 W  15 ST;True;True;True;False;False;0.179277232;17.92772323
Manhattan;Upper West Side (Central);1030995;4;23;RIVERSIDE;RIVERSIDE DR;10023;23 RIVERSIDE DR;True;True;True;False;False;0.113410753;11.34107527
Manhattan;Upper West Side (Central);1031715;3;29;95;W  95 ST;10025;29 W  95 ST;True;True;True;False;False;0.089358245;8.935824482
Manhattan;Upper West Side (Central);1031441;4.5;66;87;W  87 ST;10024;66 W  87 ST;True;True;True;False;False;0.109890846;10.98908458
Manhattan;Gramercy;1020484;3;341;18;E  18 ST;10003;341 E  18 ST;True;True;True;False;False;0.171607294;17.16072937
Manhattan;Chelsea-Hudson Yards;1014192;3;269;25;W  25 ST;10001;269 W  25 ST;True;False;False;False;True;0.749348894;74.93488938
Manhattan;Upper West Side (Central);1031224;3;;;;;;True;True;True;False;False;0.079337941;7.93379411
Manhattan;Chelsea-Hudson Yards;1012330;5;505;22;W  22 ST;10011;505 W  22 ST;True;True;False;False;False;0.147289971;14.72899707
Manhattan;Midtown-Times Square;1015960;3;;;;;;True;False;False;False;True;0.680930841;68.09308405
Manhattan;Chelsea-Hudson Yards;1013982;1;156;7;7 AVE;10011;156 7 AVE;True;False;False;False;True;0.785056302;78.5056302
Manhattan;Upper West Side (Central);1031193;4;38;83;W  83 ST;10024;38 W  83 ST;True;True;True;False;False;0.140021203;14.00212028
Manhattan;Midtown-Times Square;1015228;4;128;36;W  36 ST;10018;128 W  36 ST;True;False;False;False;True;0.799892843;79.98928434
Manhattan;Midtown-Times Square;1015224;18;;;;;;True;False;False;False;True;0.895122012;89.51220116
Manhattan;Hell's Kitchen;1026582;5;692;10;10 AVE;10019;692 10 AVE;True;True;False;False;False;0.661215354;66.12153543
Manhattan;Midtown South-Flatiron-Union Square;1014262;12;205;28;W  28 ST;10001;205 W  28 ST;True;False;False;False;True;0.904562776;90.45627762
Manhattan;Hell's Kitchen;1025418;6;330;55;W  55 ST;10019;330 W  55 ST;True;False;True;False;True;0.505647268;50.56472677
Manhattan;Midtown-Times Square;1024839;13;1701;BROADWAY;BROADWAY;10019;1701 BROADWAY;True;False;False;False;True;0.592372858;59.2372858
Manhattan;Gramercy;1019560;8;225;17;E  17 ST;10003;225 E  17 ST;True;True;False;False;False;0.648616802;64.86168022
Manhattan;Chelsea-Hudson Yards;1014080;3;222;22;W  22 ST;10011;222 W  22 ST;True;False;True;False;False;0.139015719;13.90157194
Manhattan;Upper West Side-Lincoln Square;1030984;5;311;72;W  72 ST;10023;311 W  72 ST;True;True;True;False;False;0.32720717;32.72071695
Manhattan;Midtown South-Flatiron-Union Square;1016894;13;14;28;E  28 ST;10016;14 E  28 ST;True;False;False;False;True;0.740368011;74.03680111
Manhattan;Hell's Kitchen;1024988;3;341;44;W  44 ST;10036;341 W  44 ST;True;False;True;False;False;0.796210013;79.62100132
Manhattan;Upper West Side (Central);1031607;29;300;CENTRAL;CENTRAL PARK W;10024;300 CENTRAL PARK W;True;False;False;False;True;0.743759227;74.37592268
Manhattan;Upper West Side (Central);1031672;4;33;94;W  94 ST;10025;33 W  94 ST;True;True;True;False;False;0.097996678;9.799667814
Manhattan;Midtown-Times Square;1023387;57;154;55;W  55 ST;10019;154 W  55 ST;True;False;False;False;True;0.999433793;99.94337928
Manhattan;Hell's Kitchen;1026999;5;504;48;W  48 ST;10036;504 W  48 ST;True;True;True;False;False;0.157187147;15.71871474
Manhattan;Upper West Side-Lincoln Square;1030525;4;250;73;W  73 ST;10023;250 W  73 ST;True;True;False;False;False;0.688592399;68.85923986
Manhattan;Upper West Side (Central);1031622;4;58;91;W  91 ST;10024;58 W  91 ST;True;False;False;True;True;0.08772399;8.772398966
Manhattan;Midtown South-Flatiron-Union Square;1015731;6;256;5;5 AVE;10001;256 5 AVE;True;False;False;False;True;0.830826892;83.08268922
Manhattan;Hell's Kitchen;1026493;4;400;47;W  47 ST;10036;400 W  47 ST;True;False;False;False;True;0.686363761;68.63637614
Manhattan;Upper West Side (Central);1031065;4;349;END;W  END AVE;10024;349 W  END AVE;True;True;True;False;False;0.152491607;15.24916072
Manhattan;Midtown-Times Square;1015996;5;35;38;W  38 ST;10018;35 W  38 ST;True;False;False;False;True;0.863395868;86.33958679
Manhattan;Upper West Side (Central);1030905;3;221;78;W  78 ST;10024;221 W  78 ST;True;True;True;False;False;0.123935431;12.39354311
Manhattan;Chelsea-Hudson Yards;1014005;3;196;8;8 AVE;10011;196 8 AVE;True;False;False;False;True;0.673393458;67.33934582
Manhattan;Gramercy;1019540;6;3;RUTHERFORD;RUTHERFORD PL;10003;3 RUTHERFORD PL;True;True;True;False;False;0.121943767;12.19437666
Manhattan;Midtown South-Flatiron-Union Square;1017009;9;7;32;E  32 ST;10016;7 E  32 ST;True;True;False;False;False;0.612823503;61.28235025
Manhattan;Midtown-Times Square;1014439;7;247;36;W  36 ST;10018;247 W  36 ST;True;False;False;False;True;0.855206786;85.52067864
Manhattan;Chelsea-Hudson Yards;1013882;3;207;18;W  18 ST;10011;207 W  18 ST;True;False;False;False;True;0.539686642;53.9686642
Manhattan;Upper West Side (Central);1031425;4;50;87;W  87 ST;10024;50 W  87 ST;True;True;False;False;False;0.107687956;10.76879558
Manhattan;Gramercy;1020411;6;332;15;E  15 ST;10003;332 E  15 ST;True;True;True;False;False;0.192634844;19.26348442
Manhattan;Hell's Kitchen;1027137;4;630;52;W  52 ST;10019;630 W  52 ST;True;False;False;False;True;0.74753575;74.75357501
Manhattan;Upper West Side (Central);1028803;5;;;;;;True;True;False;False;False;0.100583761;10.05837609
Manhattan;Gramercy;1020598;6;310;24;E  24 ST;10010;310 E  24 ST;True;False;False;False;True;0.656534963;65.65349629
Manhattan;Upper West Side-Lincoln Square;1028477;4;64;69;W  69 ST;10023;64 W  69 ST;True;True;True;True;False;0.154500826;15.45008265
Manhattan;Midtown South-Flatiron-Union Square;1015784;5;3;30;W  30 ST;10001;3 W  30 ST;True;False;False;False;True;0.841277684;84.12776842
Manhattan;Midtown South-Flatiron-Union Square;1015556;3;686;OF THE AMERICAS;AVE OF THE AMERICAS;10010;686 AVE OF THE AMERICAS;True;False;False;False;True;0.67363165;67.36316502
Manhattan;Hell's Kitchen;1026914;7;515;42;W  42 ST;10036;515 W  42 ST;True;False;False;False;True;0.658224125;65.82241253
Manhattan;Upper West Side (Central);1030850;5;255;75;W  75 ST;10023;255 W  75 ST;True;False;False;False;True;0.625183261;62.51832609
Manhattan;Upper West Side-Lincoln Square;1028259;4;70;68;W  68 ST;10023;70 W  68 ST;True;False;True;False;True;0.525492379;52.54923791
Manhattan;Midtown South-Flatiron-Union Square;1014230;6;241;26;W  26 ST;10001;241 W  26 ST;True;True;True;True;False;0.814251927;81.42519269
Manhattan;Upper West Side-Lincoln Square;1027472;42;1;LINCOLN;LINCOLN PLZ;10023;1 LINCOLN PLZ;True;False;False;False;True;0.968436705;96.84367049
Manhattan;Chelsea-Hudson Yards;1013059;5;330;17;W  17 ST;10011;330 W  17 ST;True;True;True;False;False;0.168504091;16.85040908
Manhattan;Upper West Side (Central);1028742;5;56;75;W  75 ST;10023;56 W  75 ST;True;True;True;False;False;0.111996886;11.19968861
Manhattan;Hell's Kitchen;1027144;5;723;11;11 AVE;10019;723 11 AVE;True;False;False;False;True;0.642715205;64.27152049
Manhattan;Gramercy;1020469;5;309;18;E  18 ST;10003;309 E  18 ST;True;True;False;True;False;0.239458392;23.9458392
Manhattan;Gramercy;1017922;4;;;;;;False;False;False;False;False;0.087759258;8.77592579
Manhattan;Chelsea-Hudson Yards;1014088;4;240;22;W  22 ST;10011;240 W  22 ST;True;False;False;False;True;0.184835617;18.48356166
Manhattan;Gramercy;1019650;4;287;3;3 AVE;10010;287 3 AVE;True;False;False;False;True;0.724935126;72.49351257
Manhattan;Upper West Side-Lincoln Square;1029767;4;116;71;W  71 ST;10023;116 W  71 ST;True;True;True;False;False;0.107104673;10.71046731
Manhattan;Chelsea-Hudson Yards;1013344;4;;;;;;True;True;False;False;False;0.10804272;10.804272
Manhattan;Chelsea-Hudson Yards;1013095;3;359;18;W  18 ST;10011;359 W  18 ST;True;False;False;False;True;0.199655568;19.96555682
Manhattan;Hell's Kitchen;1027023;2;547;49;W  49 ST;10019;547 W  49 ST;True;True;True;False;False;0.514472736;51.44727359
Manhattan;Hell's Kitchen;1026416;5;;;;;;False;False;False;False;False;0.748640719;74.86407189
Manhattan;Hell's Kitchen;1025070;5;344;47;W  47 ST;10036;344 W  47 ST;True;True;True;False;False;0.233825752;23.38257524
Manhattan;Upper West Side (Central);1031115;5;315;78;W  78 ST;10024;315 W  78 ST;True;True;True;False;False;0.071266648;7.126664782
Manhattan;Chelsea-Hudson Yards;1014161;5;230;24;W  24 ST;10011;230 W  24 ST;True;True;True;False;False;0.157950395;15.79503951
Manhattan;Chelsea-Hudson Yards;1014107;5;275;22;W  22 ST;10011;275 W  22 ST;True;True;True;False;False;0.74008195;74.00819504
Manhattan;Hell's Kitchen;1026774;5;444;54;W  54 ST;10019;444 W  54 ST;True;True;True;False;False;0.164354727;16.43547269
Manhattan;Chelsea-Hudson Yards;1012877;1;450;36;W  36 ST;10018;450 W  36 ST;True;False;False;False;True;0.565786079;56.57860789
Manhattan;Upper West Side (Central);1031729;17;;;;;;True;False;False;False;True;0.62697413;62.69741298
Manhattan;Upper West Side (Central);1028738;4;37;74;W  74 ST;10023;37 W  74 ST;True;True;True;False;False;0.099670219;9.967021904
Manhattan;Chelsea-Hudson Yards;1013046;5;;;;;;True;True;False;False;False;0.185034073;18.50340729
Manhattan;Gramercy;1018165;4;129;27;E  27 ST;10016;129 E  27 ST;True;True;True;False;False;0.752384997;75.23849967
Manhattan;Midtown South-Flatiron-Union Square;1015849;13;;;;;;True;True;True;False;False;0.522648611;52.26486105
Manhattan;Upper West Side-Lincoln Square;1030941;7;340;71;W  71 ST;10023;340 W  71 ST;True;False;False;False;True;0.593046736;59.3046736
Manhattan;Gramercy;1019564;4;;;;;;True;True;True;False;False;0.046466472;4.646647196
Manhattan;Hell's Kitchen;1027089;4;647;42;W  42 ST;10036;647 W  42 ST;True;False;True;False;True;0.747207296;74.72072965
Manhattan;Midtown South-Flatiron-Union Square;1015486;5;48;20;W  20 ST;10011;48 W  20 ST;True;False;False;True;True;0.78354195;78.35419496
Manhattan;Chelsea-Hudson Yards;1012799;6;231;9;9 AVE;10001;231 9 AVE;True;False;False;False;True;0.723130557;72.31305575
Manhattan;Chelsea-Hudson Yards;1014075;14;188;7;7 AVE;10011;188 7 AVE;True;False;False;True;True;0.746732936;74.67329359
Manhattan;Gramercy;1020550;4;337;21;E  21 ST;10010;337 E  21 ST;True;True;False;False;False;0.243790937;24.37909368
Manhattan;Hell's Kitchen;1025219;6;362;52;W  52 ST;10019;362 W  52 ST;True;True;False;False;False;0.649645889;64.9645889
Manhattan;Upper West Side-Lincoln Square;1030965;15;243;END;W  END AVE;10023;243 W  END AVE;True;False;False;False;True;0.655228986;65.52289855
Manhattan;Midtown South-Flatiron-Union Square;1016071;6.5;7;15;E  15 ST;10003;7 E  15 ST;True;True;True;False;False;0.260589899;26.05898993
Manhattan;Chelsea-Hudson Yards;1013849;12;232;18;W  18 ST;10011;232 W  18 ST;True;False;False;False;True;0.840228547;84.0228547
Manhattan;Upper West Side-Lincoln Square;1028247;5;;;;;;True;True;True;False;False;0.108884082;10.88840824
Manhattan;Upper West Side-Lincoln Square;1028532;4;57;69;W  69 ST;10023;57 W  69 ST;True;True;True;False;False;0.108508752;10.85087524
Manhattan;Chelsea-Hudson Yards;1013127;4;142;9;9 AVE;10011;142 9 AVE;True;False;False;False;True;0.653055868;65.30558683
Manhattan;Upper West Side-Lincoln Square;1028453;9;25;68;W  68 ST;10023;25 W  68 ST;True;False;True;False;True;0.507996175;50.79961748
Manhattan;Upper West Side (Central);1031151;4;;;;;;True;True;True;False;False;0.131241523;13.12415228
Manhattan;Upper West Side-Lincoln Square;1030544;;2101;BROADWAY;BROADWAY;10023;2101 BROADWAY;True;False;False;False;True;0.516855069;51.68550691
Manhattan;Midtown South-Flatiron-Union Square;1016243;4;924;BROADWAY;BROADWAY;10010;924 BROADWAY;True;False;False;False;True;0.872197799;87.21977994
Manhattan;Midtown-Times Square;1014500;12;;;;;;True;False;False;False;True;0.783297281;78.32972808
Manhattan;Midtown South-Flatiron-Union Square;1015049;12;114;27;W  27 ST;10001;114 W  27 ST;True;False;False;False;True;0.855540336;85.55403361
Manhattan;Hell's Kitchen;1025143;4;797;8;8 AVE;10019;797 8 AVE;True;False;False;True;True;0.774395008;77.43950084
Manhattan;Midtown South-Flatiron-Union Square;1015447;10;15;18;W  18 ST;10011;15 W  18 ST;True;False;False;False;True;0.844785109;84.47851093
Manhattan;Upper West Side (Central);1030119;4;143;75;W  75 ST;10023;143 W  75 ST;True;True;True;False;False;0.098639645;9.863964539
Manhattan;Upper West Side (Central);1031408;15;261;CENTRAL;CENTRAL PARK W;10024;261 CENTRAL PARK W;True;False;False;False;True;0.526848371;52.68483709
Manhattan;Midtown South-Flatiron-Union Square;1016248;5;29;21;E  21 ST;10010;29 E  21 ST;True;False;False;False;True;0.838153308;83.81533083
Manhattan;Gramercy;1017901;5;118;19;E  19 ST;10003;118 E  19 ST;True;False;False;False;True;0.638057454;63.80574537
Manhattan;Midtown South-Flatiron-Union Square;1015561;6;172;5;5 AVE;10010;172 5 AVE;True;False;False;True;True;0.780199735;78.0199735
Manhattan;Midtown South-Flatiron-Union Square;1017103;5;;;;;;True;False;False;False;True;0.785295867;78.52958674
Manhattan;Gramercy;1018163;5;115;27;E  27 ST;10016;115 E  27 ST;True;False;True;False;False;0.688290451;68.82904509
Manhattan;Hell's Kitchen;1026426;5;444;45;W  45 ST;10036;444 W  45 ST;True;False;True;False;True;0.419323112;41.9323112
Manhattan;Gramercy;1017888;4;144;19;E  19 ST;10003;144 E  19 ST;True;True;True;False;False;0.107502878;10.75028778
Manhattan;Chelsea-Hudson Yards;1013804;4;233;16;W  16 ST;10011;233 W  16 ST;True;True;True;False;False;0.215157141;21.51571407
Manhattan;Upper West Side (Central);1031413;4;14;87;W  87 ST;10024;14 W  87 ST;True;True;True;False;False;0.09711466;9.71146601
Manhattan;Hell's Kitchen;1025420;9;350;55;W  55 ST;10019;350 W  55 ST;True;True;True;False;False;0.518465568;51.84655676
Manhattan;Midtown South-Flatiron-Union Square;1015471;7;;;;;;True;False;False;False;True;0.728010575;72.80105746
Manhattan;Midtown-Times Square;1022569;33;10;TIMES SQUARE;TIMES SQUARE;10018;10 TIMES SQUARE;True;False;True;False;False;0.81213789;81.21378902
Manhattan;Chelsea-Hudson Yards;1013878;3;231;18;W  18 ST;10011;231 W  18 ST;True;True;True;False;False;0.699948557;69.99485575
Manhattan;Midtown South-Flatiron-Union Square;1015615;;29;25;W  25 ST;10010;29 W  25 ST;True;False;False;False;True;0.621783723;62.17837227
Manhattan;Upper West Side (Central);1031380;5;32;86;W  86 ST;10024;32 W  86 ST;True;True;True;False;False;0.411809148;41.18091478
Manhattan;Gramercy;1019513;5;243;14;E  14 ST;10003;243 E  14 ST;True;False;False;False;True;0.688823272;68.88232722
Manhattan;Upper West Side (Central);1031550;4;55;89;W  89 ST;10024;55 W  89 ST;True;True;True;True;False;0.143802883;14.3802883
Manhattan;Hell's Kitchen;1026845;6;;;;;;True;False;True;True;True;0.699975658;69.99756576
Manhattan;Chelsea-Hudson Yards;1013732;5;201;14;W  14 ST;10011;201 W  14 ST;True;False;False;True;True;0.652095401;65.20954007
Manhattan;Chelsea-Hudson Yards;1012651;3;440;22;W  22 ST;10011;440 W  22 ST;True;True;True;False;False;0.106869406;10.68694057
Manhattan;Midtown South-Flatiron-Union Square;1015779;12;29;30;W  30 ST;10001;29 W  30 ST;False;False;False;False;False;0.880866139;88.08661392
Manhattan;Upper West Side-Lincoln Square;1027191;44;1;CENTRAL;CENTRAL PARK W;10023;1 CENTRAL PARK W;True;True;False;False;False;0.948103923;94.8103923
Manhattan;Midtown-Times Square;1015254;27;115;37;W  37 ST;10018;115 W  37 ST;True;False;False;False;False;0.777629564;77.76295641
Manhattan;Midtown South-Flatiron-Union Square;1017106;16;16;PARK;PARK AVE;10016;16 PARK AVE;True;False;False;False;True;0.711657367;71.16573669
Manhattan;Chelsea-Hudson Yards;1013373;5;360;23;W  23 ST;10011;360 W  23 ST;True;False;False;False;True;0.78708135;78.70813499
Manhattan;Chelsea-Hudson Yards;1014781;12;150;22;W  22 ST;10011;150 W  22 ST;True;False;False;False;True;0.886493357;88.64933572
Manhattan;Upper West Side-Lincoln Square;1029632;8;147;69;W  69 ST;10023;147 W  69 ST;True;True;False;False;True;0.786597814;78.65978143
Manhattan;Chelsea-Hudson Yards;1013811;3;209;16;W  16 ST;10011;209 W  16 ST;True;True;True;False;False;0.133608266;13.36082665
Manhattan;Midtown South-Flatiron-Union Square;1014279;14;257;29;W  29 ST;10001;257 W  29 ST;True;False;False;False;True;0.820977808;82.09778078
Manhattan;Upper West Side (Central);1031052;4;319;76;W  76 ST;10023;319 W  76 ST;True;True;True;False;False;0.154295733;15.42957325
Manhattan;Midtown South-Flatiron-Union Square;1015876;12;1;34;W  34 ST;10001;1 W  34 ST;False;False;False;False;False;0.858651367;85.86513667
Manhattan;Hell's Kitchen;1026991;5;501;47;W  47 ST;10036;501 W  47 ST;True;False;False;False;True;0.624204814;62.42048139
Manhattan;Hell's Kitchen;1026736;5;;;;;;True;False;False;False;True;0.592333021;59.23330212
Manhattan;Upper West Side (Central);1031190;4;24;83;W  83 ST;10024;24 W  83 ST;True;True;True;False;False;0.09369654;9.369653999
Manhattan;Upper West Side (Central);1030913;5;;;;;;True;True;True;False;False;0.537935575;53.79355747
Manhattan;Midtown-Times Square;1014507;3;236;40;W  40 ST;10018;236 W  40 ST;True;False;False;False;True;0.799795644;79.97956437
Manhattan;Hell's Kitchen;1026631;5;696;10;10 AVE;10019;696 10 AVE;True;False;False;False;True;0.622308035;62.23080352
Manhattan;Upper West Side-Lincoln Square;1029884;9;119;71;W  71 ST;10023;119 W  71 ST;True;False;True;False;True;0.625226325;62.52263253
Manhattan;Midtown-Times Square;1015234;16;160;36;W  36 ST;10018;160 W  36 ST;True;False;False;False;True;0.780093534;78.00935343
Manhattan;Upper West Side-Lincoln Square;1028526;4;;;;;;True;True;True;False;False;0.131228683;13.12286825
Manhattan;Upper West Side-Lincoln Square;1029932;6;125;72;W  72 ST;10023;125 W  72 ST;True;False;False;False;True;0.842242906;84.22429058
Manhattan;Midtown-Times Square;1022628;21;133;44;W  44 ST;10036;133 W  44 ST;True;False;False;False;True;0.959315082;95.93150824
Manhattan;Midtown South-Flatiron-Union Square;1014284;14;227;29;W  29 ST;10001;227 W  29 ST;True;False;False;False;True;0.894353212;89.43532122
Manhattan;Chelsea-Hudson Yards;1015023;7;;;;;;True;False;False;False;True;0.762936272;76.29362723
Manhattan;Chelsea-Hudson Yards;1013610;3;;;;;;True;False;False;False;True;0.635021862;63.50218622
Manhattan;Upper West Side (Central);1030856;4;249;76;W  76 ST;10023;249 W  76 ST;True;True;False;False;False;0.094189986;9.4189986
Manhattan;Chelsea-Hudson Yards;1012698;6;;;;;;True;False;True;False;True;0.638182083;63.81820831
Manhattan;Midtown-Times Square;1024720;4;;;;;;True;False;True;False;False;0.676408549;67.64085493
Manhattan;Upper West Side (Central);1031354;4;61;85;W  85 ST;10024;61 W  85 ST;True;True;True;False;False;0.132615786;13.26157864
Manhattan;Midtown South-Flatiron-Union Square;1017014;42;;;;;;True;False;False;False;True;0.974165191;97.41651908
Manhattan;Midtown South-Flatiron-Union Square;1015074;4;101;27;W  27 ST;10001;101 W  27 ST;True;False;False;False;True;0.750973505;75.09735054
Manhattan;Hell's Kitchen;1027134;6;601;50;W  50 ST;10019;601 W  50 ST;True;True;False;False;False;0.715728114;71.57281143
Manhattan;Midtown South-Flatiron-Union Square;1015681;5;29;27;W  27 ST;10001;29 W  27 ST;True;False;False;False;True;0.154088536;15.40885361
Manhattan;Midtown South-Flatiron-Union Square;1014340;12;243;30;W  30 ST;10001;243 W  30 ST;True;False;False;False;True;0.869546021;86.95460207
Manhattan;Hell's Kitchen;1026767;5;807;9;9 AVE;10019;807 9 AVE;False;False;False;False;False;0.616564581;61.65645812
Manhattan;Midtown-Times Square;1015930;16;15;36;W  36 ST;10018;15 W  36 ST;True;False;False;False;True;0.879457937;87.94579367
Manhattan;Chelsea-Hudson Yards;1012398;6;530;27;W  27 ST;10001;530 W  27 ST;True;False;False;False;True;0.87964731;87.96473102
Manhattan;Chelsea-Hudson Yards;1012501;1;460;11;11 AVE;10018;460 11 AVE;True;False;True;False;False;0.516358063;51.63580635
Manhattan;Midtown South-Flatiron-Union Square;1016159;5;7;19;E  19 ST;10003;7 E  19 ST;True;False;False;False;True;0.726003248;72.60032484
Manhattan;Upper West Side (Central);1030731;3;234;75;W  75 ST;10023;234 W  75 ST;True;True;True;False;False;0.128432865;12.84328646
Manhattan;Midtown-Times Square;1023456;21;100;57;W  57 ST;10019;100 W  57 ST;True;False;False;False;True;0.800089561;80.00895612
Manhattan;Chelsea-Hudson Yards;1013805;5;225;16;W  16 ST;10011;225 W  16 ST;True;True;True;False;False;0.635743148;63.57431483
Manhattan;Midtown-Times Square;1015931;8;13;36;W  36 ST;10018;13 W  36 ST;True;False;False;False;True;0.819933797;81.99337973
Manhattan;Upper West Side-Lincoln Square;1028611;5;39;71;W  71 ST;10023;39 W  71 ST;True;True;False;False;False;0.163612836;16.36128364
Manhattan;Hell's Kitchen;1026469;5;446;46;W  46 ST;10036;446 W  46 ST;True;True;False;False;False;0.62112684;62.11268404
Manhattan;Hell's Kitchen;1024946;2;301;42;W  42 ST;10036;301 W  42 ST;True;False;False;False;False;0.87156972;87.15697195
Manhattan;Midtown South-Flatiron-Union Square;1015566;7;10;23;W  23 ST;10010;10 W  23 ST;True;False;False;False;True;0.719867364;71.9867364
